Beginn	BE	Cap	B-BEGIN
SPD-Fraktion.	PAR	Cap	I-PARAGRAPH

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
sowie	PAR	NoCap	B-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
Abgeordneten	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CDU/CSU	FRACT	Cap	B-FRACTION
)	EBRACKET	NoCap	B-EBRACKET

Axel	NAME	Cap	B-NAME
Schäfer	NAME	Cap	I-NAME
(	BBRACKET	NoCap	B-BBRACKET
Bochum	PAR	Cap	B-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET
(	BBRACKET	NoCap	B-BBRACKET
SPD	FRACT	Cap	B-FRACTION
)	EBRACKET	NoCap	B-EBRACKET
:	COL	NoCap	B-COLON

Herr	TITLE	Cap	B-TITLE
Präsident	NAME	Cap	B-NAME
!	DOT	NoCap	B-DOT
Liebe	PAR	Cap	B-PARAGRAPH
Kolleginnen	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Kollegen	PAR	Cap	I-PARAGRAPH
!	DOT	NoCap	B-DOT
Am	PAR	Cap	B-PARAGRAPH
25	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Mai	PAR	Cap	B-PARAGRAPH
2014	NUM	NoCap	B-NUMBER
wird	PAR	NoCap	B-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Europäische	PAR	Cap	I-PARAGRAPH
Parlament	PAR	Cap	I-PARAGRAPH
direkt	PAR	NoCap	I-PARAGRAPH
gewählt	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Als	PAR	Cap	B-PARAGRAPH
Ergebnis	PAR	Cap	I-PARAGRAPH
dieser	PAR	NoCap	I-PARAGRAPH
Wahl	PAR	Cap	I-PARAGRAPH
wird	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Präsident	PRE	Cap	B-PRESIDENT
derEU-Kommission	PAR	NoCap	B-PARAGRAPH
ins	PAR	NoCap	I-PARAGRAPH
Amt	PAR	Cap	I-PARAGRAPH
gebracht	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Das	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
historische	PAR	NoCap	I-PARAGRAPH
Entscheidung	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Deshalb	PAR	Cap	B-PARAGRAPH
wird	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
historischeWahl	PAR	NoCap	I-PARAGRAPH
sein	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Es	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
gut	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
alle	PAR	NoCap	I-PARAGRAPH
darauf	PAR	NoCap	I-PARAGRAPH
vorbereiten	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Ich	PAR	Cap	B-PARAGRAPH
danke	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
Kolleginnen	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Kollegen	PAR	Cap	I-PARAGRAPH
indiesem	PAR	NoCap	I-PARAGRAPH
Haus	PAR	Cap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
die	PAR	NoCap	I-PARAGRAPH
Bereitschaft	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
aus	PAR	NoCap	B-PARAGRAPH
Respekt	PAR	Cap	I-PARAGRAPH
vor	PAR	NoCap	I-PARAGRAPH
dieser	PAR	NoCap	I-PARAGRAPH
Wahl	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
aus	PAR	NoCap	I-PARAGRAPH
Respekt	PAR	Cap	I-PARAGRAPH
vor	PAR	NoCap	I-PARAGRAPH
dem	PAR	NoCap	I-PARAGRAPH
Europäischen	PAR	Cap	I-PARAGRAPH
Parlament	PAR	Cap	I-PARAGRAPH
unsere	PAR	NoCap	I-PARAGRAPH
eigene	PAR	NoCap	I-PARAGRAPH
Sitzungswoche	PAR	Cap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Mai	PAR	Cap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
verschieben	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
damit	PAR	NoCap	B-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
als	PAR	NoCap	I-PARAGRAPH
Abgeordnete	PAR	Cap	I-PARAGRAPH
zeigen	PAR	NoCap	I-PARAGRAPH
können	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
wie	PAR	NoCap	B-PARAGRAPH
wichtig	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
dieser	PAR	NoCap	I-PARAGRAPH
Tag	PAR	Cap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
dass	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
anden	PAR	NoCap	I-PARAGRAPH
Wahlkämpfen	PAR	Cap	I-PARAGRAPH
unserer	PAR	NoCap	I-PARAGRAPH
Parteien	PAR	Cap	I-PARAGRAPH
beteiligen	PAR	NoCap	I-PARAGRAPH
wollen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
sowie	PAR	NoCap	B-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
Abgeordneten	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CDU/CSU	FRACT	Cap	B-FRACTION
)	EBRACKET	NoCap	B-EBRACKET

An	PAR	Cap	B-PARAGRAPH
25	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Mai	PAR	Cap	B-PARAGRAPH
finden	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Deutschland	PAR	Cap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
gab	PAR	NoCap	I-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
nie	PAR	NoCap	I-PARAGRAPH
zuvor	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
Kommunalwahlen	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
insgesamt	PAR	NoCap	I-PARAGRAPH
zehn	PAR	NoCap	I-PARAGRAPH
Ländernstatt	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Auch	PAR	Cap	B-PARAGRAPH
da	PAR	NoCap	I-PARAGRAPH
wollen	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
deutlich	PAR	NoCap	I-PARAGRAPH
machen	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
unabhängig	PAR	NoCap	I-PARAGRAPH
von	PAR	NoCap	I-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
Inhalten	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
den	PAR	NoCap	I-PARAGRAPH
Verschiedenheiten	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
die	PAR	NoCap	B-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
hier	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Haus	PAR	Cap	I-PARAGRAPH
gibt	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
Europa	PAR	Cap	I-PARAGRAPH
vor	PAR	NoCap	I-PARAGRAPH
Ort	PAR	Cap	I-PARAGRAPH
beginnt	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
dass	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
dazu	PAR	NoCap	I-PARAGRAPH
einen	PAR	NoCap	I-PARAGRAPH
wichtigen	PAR	NoCap	I-PARAGRAPH
Beitrag	PAR	Cap	I-PARAGRAPH
leisten	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Die	PAR	Cap	B-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
hat	PAR	NoCap	B-PARAGRAPH
sich	PAR	NoCap	I-PARAGRAPH
vorgenommen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
Europa	PAR	Cap	B-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
verbessern	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Alexander	NAME	Cap	B-NAME
Ulrich	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
DIE	FRACT	Cap	B-FRACTION
LINKE	FRACT	Cap	I-FRACTION
]	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON
Oje	PAR	Cap	B-PARAGRAPH
!	DOT	NoCap	B-DOT
Manfred	NAME	Cap	B-NAME
Grund	NAME	Cap	I-NAME
[	PAR	NoCap	B-PARAGRAPH
CDU/CSU	FRACT	Cap	B-FRACTION
]	PAR	NoCap	B-PARAGRAPH
:	COL	NoCap	B-COLON
Fangt	PAR	Cap	B-PARAGRAPH
erst	PAR	NoCap	I-PARAGRAPH
mal	PAR	NoCap	I-PARAGRAPH
inDeutschland	PAR	NoCap	I-PARAGRAPH
an	PAR	NoCap	I-PARAGRAPH
!	DOT	NoCap	B-DOT
)	EBRACKET	NoCap	B-EBRACKET

Wir	PAR	Cap	B-PARAGRAPH
tun	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
nach	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Melodie	PAR	Cap	I-PARAGRAPH
zur	PAR	NoCap	I-PARAGRAPH
Kinderhymne	PAR	Cap	I-PARAGRAPH
von	PAR	NoCap	I-PARAGRAPH
Bert	PAR	Cap	I-PARAGRAPH
Brecht	PAR	Cap	I-PARAGRAPH
:	COL	NoCap	B-COLON

Und	PAR	Cap	B-PARAGRAPH
weil	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
dies	PAR	NoCap	I-PARAGRAPH
Land	PAR	Cap	I-PARAGRAPH
verbessern	PAR	NoCap	I-PARAGRAPH
Lieben	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
beschirmen	PAR	NoCap	I-PARAGRAPH
wir’s.	PAR	NoCap	I-PARAGRAPH
Und	PAR	Cap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
Liebste	PAR	Cap	I-PARAGRAPH
mag’s	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
scheinen	PAR	NoCap	I-PARAGRAPH
So	PAR	Cap	I-PARAGRAPH
wie	PAR	NoCap	I-PARAGRAPH
andern	PAR	NoCap	I-PARAGRAPH
Völkern	PAR	Cap	I-PARAGRAPH
ihrs	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Das	PAR	Cap	B-PARAGRAPH
gilt	PAR	NoCap	I-PARAGRAPH
genauso	PAR	NoCap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
Europa;	PAR	Cap	I-PARAGRAPH
so	PAR	NoCap	I-PARAGRAPH
wollen	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
halten	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

(	BBRACKET	NoCap	B-BBRACKET
Beifall	MOOD	Cap	B-MOOD
bei	PAR	NoCap	B-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
SPD	FRACT	Cap	B-FRACTION
sowie	PAR	NoCap	B-PARAGRAPH
bei	PAR	NoCap	I-PARAGRAPH
Abgeordneten	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
CDU/CSU	FRACT	Cap	B-FRACTION
)	EBRACKET	NoCap	B-EBRACKET

Die	PAR	Cap	B-PARAGRAPH
Europäische	PAR	Cap	I-PARAGRAPH
Kommission	PAR	Cap	I-PARAGRAPH
hat	PAR	NoCap	I-PARAGRAPH
jetzt	PAR	NoCap	I-PARAGRAPH
ein	PAR	NoCap	I-PARAGRAPH
Arbeitsprogramm	PAR	Cap	I-PARAGRAPH
vorgelegt	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
über	PAR	NoCap	B-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
diskutieren	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Es	PAR	Cap	B-PARAGRAPH
isteine	PAR	NoCap	I-PARAGRAPH
gute	PAR	NoCap	I-PARAGRAPH
Tradition	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
es	PAR	NoCap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
auch	PAR	NoCap	I-PARAGRAPH
eine	PAR	NoCap	I-PARAGRAPH
Notwendigkeit	PAR	Cap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
abgleichen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
was	PAR	NoCap	B-PARAGRAPH
unsere	PAR	NoCap	I-PARAGRAPH
Politik	PAR	Cap	I-PARAGRAPH
sein	PAR	NoCap	I-PARAGRAPH
soll	PAR	NoCap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
für	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
natürlich	PAR	NoCap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Koalitionsvertrag	PAR	Cap	I-PARAGRAPH
festgehalten	PAR	NoCap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
was	PAR	NoCap	I-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
gegenüber	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Bundesregierung	PAR	Cap	I-PARAGRAPH
dabei	PAR	NoCap	I-PARAGRAPH
anKontrollrechten	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Umsetzung	PAR	Cap	I-PARAGRAPH
nutzen	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Gleichzeitig	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
klären	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
wo	PAR	NoCap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
uns	PAR	NoCap	I-PARAGRAPH
als	PAR	NoCap	I-PARAGRAPH
Parlamentarier	PAR	Cap	I-PARAGRAPH
rechtlich	PAR	NoCap	I-PARAGRAPH
zur	PAR	NoCap	I-PARAGRAPH
Kooperation	PAR	Cap	I-PARAGRAPH
mit	PAR	NoCap	I-PARAGRAPH
unseren	PAR	NoCap	I-PARAGRAPH
Kolleginnen	PAR	Cap	I-PARAGRAPH
und	PAR	NoCap	I-PARAGRAPH
Kollegen	PAR	Cap	I-PARAGRAPH
im	PAR	NoCap	I-PARAGRAPH
Europäischen	PAR	Cap	I-PARAGRAPH
Parlament	PAR	Cap	I-PARAGRAPH
verpflichten	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Es	PAR	Cap	B-PARAGRAPH
ist	PAR	NoCap	I-PARAGRAPH
gut	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
dass	PAR	NoCap	B-PARAGRAPH
wir	PAR	NoCap	I-PARAGRAPH
Parlamentarier	PAR	Cap	I-PARAGRAPH
aus	PAR	NoCap	I-PARAGRAPH
diesem	PAR	NoCap	I-PARAGRAPH
Hause	PAR	Cap	I-PARAGRAPH
direkt	PAR	NoCap	I-PARAGRAPH
am	PAR	NoCap	I-PARAGRAPH
Montag	PAR	Cap	I-PARAGRAPH
damit	PAR	NoCap	I-PARAGRAPH
anfangen	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
nach	PAR	NoCap	B-PARAGRAPH
Art	PAR	Cap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
13	NUM	NoCap	B-NUMBER
des	PAR	NoCap	B-PARAGRAPH
Fiskalpakts	PAR	Cap	I-PARAGRAPH
gemeinsammit	PAR	NoCap	I-PARAGRAPH
Parlamentarierkollegen	PAR	Cap	I-PARAGRAPH
aus	PAR	NoCap	I-PARAGRAPH
Brüssel	PAR	Cap	I-PARAGRAPH
an	PAR	NoCap	I-PARAGRAPH
diesem	PAR	NoCap	I-PARAGRAPH
Europa	PAR	Cap	I-PARAGRAPH
zu	PAR	NoCap	I-PARAGRAPH
arbeiten	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT

Wir	PAR	Cap	B-PARAGRAPH
werden	PAR	NoCap	I-PARAGRAPH
das	PAR	NoCap	I-PARAGRAPH
auf	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Grundlage	PAR	Cap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
Übereinstimmung	PAR	Cap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
Sachfragen	PAR	Cap	I-PARAGRAPH
tun	PAR	NoCap	I-PARAGRAPH
,	DOT	NoCap	B-DOT
was	PAR	NoCap	B-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
diesem	PAR	NoCap	I-PARAGRAPH
Haus	PAR	Cap	I-PARAGRAPH
selten	PAR	NoCap	I-PARAGRAPH
vorkommt	PAR	NoCap	I-PARAGRAPH
.	DOT	NoCap	B-DOT
Dieses	PAR	Cap	B-PARAGRAPH
Haus	PAR	Cap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
in	PAR	NoCap	I-PARAGRAPH
der	PAR	NoCap	I-PARAGRAPH
letzten	PAR	NoCap	I-PARAGRAPH
Legislaturperiode	PAR	Cap	I-PARAGRAPH

504	NUM	NoCap	B-NUMBER
Deutscher	PAR	Cap	B-PARAGRAPH
Bundestag	PAR	Cap	I-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
18	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Wahlperiode	PAR	Cap	B-PARAGRAPH
–	PAR	NoCap	I-PARAGRAPH
9	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Sitzung	PAR	Cap	B-PARAGRAPH
.	DOT	NoCap	B-DOT
Berlin	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
Freitag	PAR	Cap	B-PARAGRAPH
,	DOT	NoCap	B-DOT
den	PAR	NoCap	B-PARAGRAPH
17	NUM	NoCap	B-NUMBER
.	DOT	NoCap	B-DOT
Januar	PAR	Cap	B-PARAGRAPH
2014	NUM	NoCap	B-NUMBER

Axel	NAME	Cap	B-NAME
Schäfer	NAME	Cap	I-NAME
(	BBRACKET	NoCap	B-BBRACKET
Bochum	PAR	Cap	B-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET

(	BBRACKET	NoCap	B-BBRACKET
A	PAR	Cap	B-PARAGRAPH
)	EBRACKET	NoCap	B-EBRACKET
(	BBRACKET	NoCap	B-BBRACKET
C	PAR	Cap	B-PARAGRAPH
